ID,Timestamp,Tweet URL,Group,Collector,Category,Topic,Keywords,Account handle,Account name,Account bio,Account type,Joined,Following,Followers,Location,Tweet,Tweet Translated,Tweet Type,Date posted,Screenshot,Content type,Likes,Replies,Retweets
23-11,31/03/23 11:07:49,https://twitter.com/LovelynNavarro4/status/1470913944873500672?s=20,23,"Lorico, Hans Daniel",MRCS,Misinformation on Food Situation during Ferdinand Marcos' Regime,"pagkain, piso, murang pagkain",@LovelynNavarro4,Love lyn Navarro,NULL,Anonymous,11/21,1,2,Philippines,"@bethangsioco Mali po kayo,,sa baon ko na 50centimos,may palamig at sapin sapin na po ako na mabibili,may matitira pa po na 10centimo pag uwian ibbli ko po yun ng buko juice,,sa 50centimos po yun na baon ko,,hindi po totoo na bumaba value ng piso.","@bethangsioco You are wrong, with my 50 centavo allowance, I already had the ability to buy palamig and sapin sapin, with 10 centavos to spare. During dismissal, I would buy coconut juice with my 50 centavo allowance. It is not true that the value of the peso lowered.","Text, Reply",16/12/21 8:29,https://drive.google.com/file/d/1EjVHtJKNI_klGmTXQCs7gxWNQvgBzoeR/view?usp=share_link,Emotional,0,0,0
23-12,31/03/23 14:12:51,https://twitter.com/JaneTheVirgo13/status/1506864559323156480,23,"Lorico, Hans Daniel",MRCS,Misinformation on Food Situation during Ferdinand Marcos' Regime,"BBM, murang pagkain",@JaneTheVirgo13,Jane,"my main account got suspended .
im a virgo..
im a single mom 
i have a stable job 
i love alternative music esp 90's/2000
i like crime movies and documentaries",Anonymous,12/21,633,656,Jakarta Capital Raegion,"Sino nakakitim nito?during elementary days..ang sarap nito grabe..How i wish naabutan ko ung mga ganitong eksena

Maganda ang binigay nila sa mga pilipino but sinuklian natin ng pighati!

Kaya babawi tayo kay BBM!

(ctto) https://t.co/wAULxirpqa","Who had the chance to taste this? During elementary days .. these were so good grabe .. How I wish I had the opportunity to witness this scene

The things that they gave the Filipinos were good, but we reciprocated them with sorrow

That is why we will come back with BBM!

(ctto) https://t.co/wAULxirpqa","Text, image",03/24/22 13:24,https://drive.google.com/file/d/19tJ0R8RVHayO1-yT-1u-9Qwrfh8-A1Wj/view?usp=share_link,Emotional,563,57,144
23-13,31/03/23 14:28:10,https://twitter.com/JaxsonCrow/status/1408021057152241667,23,"Lorico, Hans Daniel",MRCS,Misinformation on Food Situation during Ferdinand Marcos' Regime,"murang bilihin, murang pagkain, BBM",@JaxsonCrow,Nathan Hawk's Dead Heart,"Take me now
I'm so tired take me now
This time forever...",Anonymous,08/20,606,255,NULL,Sabi ng mga bobong diehard ni Noynoy mas maganda ang buhay  nung panahon nya kce mura daw ang mga bilihin. Sabi ko naman king ina nyo mas mura bilihin nung panahon ni Marcos. 😆😆😆,"According to the foolish diehard fans of Noynoy their lives were better during his time because goods were cheaper. I said instead, ""king ina niyo"" goods were cheaper during the time of Marcos.",Text,24/06/21 19:15,https://drive.google.com/file/d/1w6a-yebBL1qBMpuGmLOjvkXIkh3SGwQA/view?usp=share_link,Emotional,31,5,2
23-14,31/03/23 15:02:32,https://twitter.com/BingSaguimpa/status/1476003983739084806?s=20,23,"Lorico, Hans Daniel",MRCS,Misinformation on Food Situation during Ferdinand Marcos' Regime,"nutribun, panahon ni Marcos",@BingSaguimpa,Bing Saguimpa,BS mangkukulam 😂😂,Anonymous,11/21,403,264,Baganga Davao Oriental,@lynr3 @FortunatoJen @banwa_ko @KrisAquinoWORLD Buhay na rin ako sa panahon ni marcos nagkaroon ng maayos na trabaho ang aking ama busog ako ng skim milk at nutribun siguro pasaway ka kaya ayaw mo kay marcos,"@lynr3 @FortunatoJen @banwa_ko @KrisAquinoWORLD I was alive during the time of Marcos my father had a decent job, we were filled with skim milk and nutribun. I am guessing that you are stubborn that is why you do not like Marcos","Text, Reply",29/12/21 09:35,https://drive.google.com/file/d/1JkauobQRmIXVh5I05yWLGAzbB2KtZjue/view?usp=share_link,Emotional,0,0,0
23-15,31/03/23 15:36:20,https://twitter.com/8YhQJHx3vN2lI2P/status/1472139299756068868,23,"Lorico, Hans Daniel",MRCS,Misinformation on Food Situation during Ferdinand Marcos' Regime,"murang bilihin, panahon ni Marcos",@8YhQJHx3vN2lI2P,marnits,"✌️✌️
DDS BBM suporters",Anonymous,11/21,842,820,"Hilongos, Eastern Visayas","Ganito ka mura Ang MGA bilihin non panahon ni Marcos  
#marcosjrforpresident2022 
Ibalik Ang Marcos","This is how cheap the goods were during the time of Marcos
#marcosjrforpresident2022 
Bring Back Marcos","Text, image",18/12/21 17:38,https://drive.google.com/file/d/1joKhiR79rhTU7zpXoJbuRwkwjWtuKI2k/view?usp=share_link,Rational,8,0,3
23-16,31/03/23 15:41:34,https://twitter.com/07Red2/status/1592720243306401792,23,"Lorico, Hans Daniel",MRCS,Misinformation on Food Situation during Ferdinand Marcos' Regime,"Food security, panahon ni marcos, kadiwa, masagana 99",@IamRed2_07,@07Red2,"Never Again sa mga salot na dilawan
turned pink  proud to be a Marcos
Duterte Supporter 
MARCOS DUTERTE ♥️ DUTERTE MARCOS ✌",Anonymous,04/22,209,238,NULL,"Throwbck.
FPMarcos Sr. Priorities 
✔ food security &amp; industrialization 
✔ fishers &amp; farmers folks 

Remember his 
✔ kadiwa ✔masagana99 
✔ biyayang dagat ✔national 
   grains authority  ✔ operation 
     land transfer  
  
   TATAK MARCOS ✌          ctto https://t.co/qBu4JVPkID","Throwback.
FPMarcos Sr. Priorities
✔ food security &amp; industrialization 
✔ fishers &amp; farmers folks 

Remember his 
✔ kadiwa ✔masagana99 
✔ blessing of the sea ✔national 
   grains authority  ✔ operation 
     land transfer  
  
   MARCOS BRAND ✌          ctto https://t.co/qBu4JVPkID","Text, Image",16/11/22 11:24,https://drive.google.com/file/d/1weopETPo1DwY2_vHtL6Ke81PgxmTCYro/view?usp=share_link,Rational,33,0,20
23-17,31/03/23 15:49:12,https://twitter.com/brotherAndy1017/status/1563363978700816388,23,"Lorico, Hans Daniel",MRCS,Misinformation on Food Situation during Ferdinand Marcos' Regime,"RCA, Rice and Corn Administration, staple food, BBM, FEM",Big brother,@brotherAndy1017,"STRICTLY NO PORN ALLOWED, 
Share thoughts, issues involving public interests, and Explore good vibes to have peace in the country. GOD BLESS US ALL",Anonymous,08/22,3502,2871,Republic of the Philippines,President Bong Bong Marcos Jr. and his father FPFEM shared the same sentiments and focus on food security to prevent hunger. I still remember the then-former Rice and Corn Administration (RCA) being the concentration of staple food in the country. https://t.co/KgVux3EdBo,President Bong Bong Marcos Jr. and his father FPFEM shared the same sentiments and focus on food security to prevent hunger. I still remember the then-former Rice and Corn Administration (RCA) being the concentration of staple food in the country. https://t.co/KgVux3EdBo,"Text, Image",27/08/22 11:13,https://drive.google.com/file/d/17sXBlSEynz5YbH4cMyjftKn-z-4xV2su/view?usp=share_link,Rational,41,0,10
23-18,03/04/23 02:48:06,https://twitter.com/erleargonza/status/1530873187247919106,23,"Lorico, Hans Daniel",MRCS,Misinformation on Food Situation during Ferdinand Marcos' Regime,"Rice Production, IRRI",Erle Frayne Argonza,erleargonza,"Sociologist, economist, development consultant, Light Master, professor, Starseed... Visit: https://t.co/cFaDgaEgpi
https://t.co/LLMir2Qh2M",Identified,03/10,2616,2771,Manila,"@Botitsky PH became self-sufficient in &amp; exporter of rice during FM incumbency. That's why IRRI was installed in PH in 64, due to potential of PH to model rice production, added to Los Banos ecology.","@Botitsky PH became self-sufficient in &amp; exporter of rice during FM incumbency. That's why IRRI was installed in PH in 64, due to potential of PH to model rice production, added to Los Banos ecology.","Text, Reply (comment)",05/29/22 19:26,https://drive.google.com/file/d/18DooR2dQX2qvUjixO4cmmO-YSDpe9IbX/view?usp=share_link,Rational,0,0,0
23-19,03/04/23 02:52:40,https://twitter.com/maria47215/status/1161589163377848320,23,"Lorico, Hans Daniel",MRCS,Misinformation on Food Situation during Ferdinand Marcos' Regime,"masagana 99, panahon ni Marcos, magaganda ani",シャネル❤️,maria47215,"Great is the LORD, and greatly to be praised; and his greatness is unsearchable. PSALMS 145:3   CHURCH OF GOD - ACTS 20:28",Anonymous,07/14,3149,1948,Japan,"@ANCALERTS Masagana 99 ni Pangulong Marcos sa panahon niya Lahat ng mga magsasaka magaganda ang Ani Pilipinas pa nagtuturo ng mabuting pag Ani sa Vietnam , after corykong grabbed the power Lahat ng mga mabubuting proyekto ni Pangulong Marcos inalis , Ito tayo ngayon after 33 years #Bagsak","@ANCALERTS The Masagana 99 project of President Marcos during his term, all farmers had bountiful harvest. The Philippines even taught the proper harvesting techniques to Vietnam. After Corykong grabbed the power, all the good projects of President Marcos was removed. Here we are now after 33 years #Bagsak","Text, Reply (comment)",08/14/19 18:43,https://drive.google.com/file/d/1JWKixOyn_gtzzd9BckmLqH0PQz2qw-P_/view?usp=share_link,Emotional,1,0,0
23-20,03/04/23 03:07:44,https://twitter.com/_e444rl/status/1515242407171788801,23,"Lorico, Hans Daniel",MRCS,Misinformation on Food Situation during Ferdinand Marcos' Regime,"dilawan, exporter, pagkain, bigas, tubo",your local ecco2k listener,_e444rl,"The beginning and the end are one and the same. Yes, all is right with the world.",Anonymous,08/16,97,35,neo tokyo,"Talo na yan dilawan nyu,, gising na ang mnga pilipino, Sa panahon ni marcos halos mg k level ang economiya ng japan at pilipinas, malakas din ang ating gamit pandigma, tiger of asia tyu dati, no. 1 exporter tyu ng bigas sa asia at factory ng tubo","Your dilawan has already lost. The Filipinos have been awakened. During the time of Marcos, the Philippines had almost the same economic level as that of Japan. Our military weaponry was also strong. We were considered as the Tiger of Asia before, and we were the number 1 exporter of rice in Asia as well as a factory or producer of sugarcane.",Text,04/16/22 16:15,https://drive.google.com/file/d/1fy1d4hmmpwkdIBAeBo6xjKX-4iRL-Zb7/view?usp=share_link,Emotional,0,0,0
23-21,02/04/23 19:21:03,https://twitter.com/loidasandiego77/status/964777652836970496?t=ACMpxXt28dDMw_t2G-r52w&s=19,23,"Luteria, Jian Lawrence",MRCS,Misinformation on Food Situation during Ferdinand Marcos' Regime,"walang gutom, Marcos",@loidasandiego77,Babaeng TagaMalolos,Isa akong Pilipino. Manunulat at isang kaibigan; nadaya ng mga leftist salamat at nagising. Ngayon ako'y isang digital storyteller.,Anonymous,04/16,2129,21610,"Santa Maria, Central Luzon","@renguillar @k_aletha and 5 others
Oo nga daw, Klim. Kaya nung si Marcos, walang batang mahirap na gutom. Kasi may mga Marcos Type Building na paaralan. At may rasyong snacks.","@renguillar @k_aletha and 5 others 
Yes, Klim. That is why during Marcos, no poor child got hungry. Because there were Marcos Type Building of schools. And there were ration snacks.","Text, Reply",17/02/18 16:24 ,https://drive.google.com/file/d/1wNSE8dHiGP-UCAo0Jktc37r68qVfWmxK/view?usp=share_link,Rational,7,2,3
23-22,02/04/23 19:34:50,https://twitter.com/mahalngdyos/status/1534140359793512449?t=U8pWoeDt4PYik_93h5Ej5w&s=19,23,"Luteria, Jian Lawrence",MRCS,Misinformation on Food Situation during Ferdinand Marcos' Regime,"walang gutom, Marcos",@mahalngdyos,marietta,I am fun,Anonymous,09/16,486,438,NULL,"@datumx11
Fyi walang tag gutom sa panahon ni Pres Marcos dahil mura lahat ng bilihin. Pag upo ng idol mong c Cory pinahirapan ang taong bayan lahat nagmahal kaya yon ang panahon ng ""dark ages""!!","@datumx11
Fyi there was no person hungry during Pres Marcos because everything you could buy was cheap. When your idol Cory was on the seat people had a more difficult time everything became expensive hence why that time is called the ""dark ages""!!","Text, Reply",07/06/2022 19:48,https://drive.google.com/file/d/1os1lygSJt5u5l_oMGimMFGk9tZYqiYfs/view?usp=share_link,Emotional,0,0,0
23-23,02/04/23 19:43:59,https://twitter.com/WinwinEklabu/status/1448587590525853696?t=zE8UgviLjg8MELJRmSSWig&s=19,23,"Luteria, Jian Lawrence",MRCS,Misinformation on Food Situation during Ferdinand Marcos' Regime,"walang gutom, Marcos",@WinwinEklabu,Mr.Winwin_Situation,"I am proud to be part of ""The 31 Million Strong""",Anonymous,12/15,6456,7121,Metro Manila,"@TheDorkKnight9 brod si marcos presidente ng matao ako., isang bata na may sakit yan post mo at kahit sa panahon ngayon may ganyang bata kase nagkasakit. walang tag gutom ng panahon ni marcos dahil tao na ako ng time na yan..mura bilihin pati tubig kuryente mura at sa work lahat nareregular.","@TheDorkKnight9 bro, Marcos is the president of my people., that's a sick child you posted and even in this day there are children like that who get sick. there was no famine during Marcos' time because I was already a person of that time..everything was cheaper including water, electricity was cheap and at work everything was regular.","Text, Reply",14/10/21 17:52,https://drive.google.com/file/d/1zO1PwhJnU8HzBiOqKAfNsfgemA4b7PLo/view?usp=share_link,Rational,0,0,0
23-24,02/04/23 19:52:38,https://twitter.com/TanValmorida/status/1600019821206573056?t=EBCGi-xv6F1KFmRUXpbj_A&s=19,23,"Luteria, Jian Lawrence",MRCS,Misinformation on Food Situation during Ferdinand Marcos' Regime,"walang gutom, Marcos",@TanValmorida,GARY VALMORIDA TAN,I'M ALREADY A SENIOR CITIZEN THAT'S WHY I'M SPECIAL,Anonymous,11/20,33,2,NULL,"@Johnmar18655220 and @GilCaliwliw
Fake news yan walang gutom sa panahon ni Marcos marami ang pera mura ang mga bilihin libre ang mga gamot tatlong peso lang ang ganta ng bigas singko sentimos pasahe sa bus walang kawatan at adik ng pumalit mga aquino dumami ang droga kung wala si Duterte narco country na pinas.","@Johnmar18655220 and @GilCaliwliw
That's fake news, there was no hunger during the Marcos era, there was a lot of money, the goods were cheap, the medicines were free, the price of rice was only three pesos, and the bus fare was five cents, there were no thieves and addicts, when the Aquinos took over, drugs increased and without Duterte, Philippines would be a narco country.","Text, Reply",6/12/2022 14:50,https://drive.google.com/file/d/1_CdsLjwD3LAU4xF7K06QaeMrQ6rypq5x/view?usp=share_link,Emotional,0,1,0
23-25,02/04/23 19:56:37,https://twitter.com/mikmikjoyjoy/status/1494367234747031593?t=PyZlNeuyHQGC99g3DsVxNQ&s=19,23,"Luteria, Jian Lawrence",MRCS,Misinformation on Food Situation during Ferdinand Marcos' Regime,"nakakakain, Marcos",@mikmikjoyjoy,ramenMAKI,just food.,Anonymous,12/20,11,1,NULL,"I don't think during the Marcos days na di nakakakain nakakatae at nakakalabas ang mga tao - they can and they even enjoy the SAFEST environment they are in, economic pa advancement and welfare. Well of course unless they're NPAs. 😂 Ngayon? Anyare? Why? yoko na magsalita. Haha!","I don't think during the Marcos days that people couldn't eat, poop, or leave - they can and they even enjoy the SAFEST environment they are in, there was also economic advancement and welfare. Well of course unless they're NPAs. 😂 Now? What happened? Why? I don't want to speak. Haha!","Text, Reply",18/02/22 1:44,https://drive.google.com/file/d/1UYYQF7upiCsVPZLy--YUHq8mxRvUAWU4/view?usp=share_link,Emotional,1,0,0
23-26,02/04/23 20:03:39,https://twitter.com/tenkuken2/status/1449269635736502273?t=r7N5OWj1ntZXFq3MQiiIrg&s=19,23,"Luteria, Jian Lawrence",MRCS,Misinformation on Food Situation during Ferdinand Marcos' Regime,"nakakakain, Marcos",@tenkuken2,Masakit,"i like Kamen rider , super sentai , gundam and cute anime girls
i sell koikatsu card
http://tenkuken2.gumroad.com",Anonymous,01/21,2257,182,NULL,"@Jeniieandpeers and @kayemontevidad
bruh nung panahon ni marcos kahit mahirap nakakakain kasi mura bilihin ngayon nganga tapos boboto mo pa ung hindi nagpaunlad sa pilipinas parang tanga lang boy","@Jeniieandpeers and @kayemontevidad
Bruh, during the time of Marcos, even the poor could eat because everything was cheap, and now you're still going to vote for someone who didn't develop the Philippines, you're just a stupid boy","Text, Reply",16/10/21 15:03,https://drive.google.com/file/d/1ARQ65eborh0yUtV78gqULmoQxtte2IE-/view?usp=share_link,Emotional,0,3,0
23-27,02/04/23 20:13:05,https://twitter.com/amazinec/status/861585307795243008?t=Ir-J7qorVw4GwNIL0jdfgw&s=19,23,"Luteria, Jian Lawrence",MRCS,Misinformation on Food Situation during Ferdinand Marcos' Regime,"walang nagutom, Marcos",@amazinec,Am Lin,NULL,Anonymous,05/16,139,116,NULL,"@FreechC
Sa panahon ni President Marcos walang nagutom, kasi may feeding program kahit saang sulok sa Pinas.

#ForeverMarcosKami
#PRRDamaNgBayan","@FreechC
During the time of President Marcos, no one went hungry, because there was a feeding program in every corner of the Philippines.

#ForeverMarcosKami
#PRRDamaNgBayan","Text, Reply",08/05/2017 22:15,https://drive.google.com/file/d/1kTY0E0gIbzX2IkQHIlx6qRKcXa1l_yRI/view?usp=share_link,Rational,0,0,0
23-28,02/04/23 20:17:52,https://twitter.com/TalladaStella/status/1546507783931310080?t=Fpx0WYi0t0v5jGR0IuJW5Q&s=19,23,"Luteria, Jian Lawrence",MRCS,Misinformation on Food Situation during Ferdinand Marcos' Regime,"walang nagutom, Marcos",@TalladaStella,stellaTallada@yahoo.com,I'm the best grandmom.,Anonymous,05/22,121,32,NULL,"@Repasar1 Everyday NFA employees go around the markets to see if rice retailers sell an overprice rice. If caught, tanggal Ang license at may kaso pa sila . Walang nagutom during Marcos years. Galunggong cost 20/kilo. Sana mabalik ang ganung pamumuhay.","@Repasar1 Everyday NFA employees go around the markets to see if rice retailers sell an overpriced rice. If caught, the license is revoked and they still have a case. No one went hungry during the Marcos years. Galunggong (mackerel) cost 20/kilo. I hope to return to that lifestyle.","Text, Reply",11/07/2022 22:52,https://drive.google.com/file/d/1ZUCaANSPJpjbzwSAArnuSeP7ZItOPFj9/view?usp=share_link,Rational,1,0,0
23-29,02/04/23 20:24:02,https://twitter.com/barbierake1/status/1039518108480929792?t=X8_DR4ei15QtLfLZZgK4yA&s=19,23,"Luteria, Jian Lawrence",MRCS,Misinformation on Food Situation during Ferdinand Marcos' Regime,"walang nagutom, Marcos",@barbierake1,EXPRESS URSELF!❤️💚✌️👊,Just an ordinary citizen isang sardutz fan,Anonymous,07/18,607,301,South China Sea,"@ApocalypseTita @jcmanila and 3 others 
Kaya natatandaan ko sa time ni Marcos may green revolution sagana sa taniman ang Pinoy walang nagugutom kasi palaging may bagong ani sa backyard planting. Ngayon TAMAD TAMAD TAMAD puro Asa. Kahit sa pamilya asa parin sa mga magulang kahit may pamilya na. That’s the truth","@ApocalypseTita @jcmanila and 3 others
That's why I remember during Marcos's time there was a green revolution, the fields were abundant for the Pinoys, no one was hungry because there was always a new harvest in the backyard planting. Now LAZY LAZY LAZY just Hope. Even in the family, we still depend on the parents, even if we already have our own family. That's the truth","Text, Reply",11/09/2018 22:16,https://drive.google.com/file/d/1L3MTnJl4d3QzXDH8nGHDHfxHOeFAiPVm/view?usp=share_link,Emotional,0,0,0
